,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
81,"['Lewite', 'Yasuo']","['Daniel To Ja', 'LeeSin']","['Issyl', 'Syndra']","['qfxnhfzkl', 'Vayne']","['Belhyn', 'Nami']","['bonesS', 'Sion']","['278931267356123', 'Diana']","['Ahrigasm', 'Varus']","['Quanickesa', 'Draven']","['Envie De Soin', 'Braum']",False
82,"['FDM LucKK', 'Irelia']","['Heegaard', 'Ekko']","['ZiggsNotAllowed', 'Swain']","['Trithy', 'Tristana']","['Circulation', 'Renata']","['Aichi tang dòu', 'Sett']","['wo xiang ni la', 'Khazix']","['Lewite', 'Vladimir']","['qfxnhfzkl', 'Twitch']","['Atom Ant', 'Nami']",True
83,"['Burghi', 'Darius']","['Bylka', 'Nocturne']","['Guilendnite', 'Kayle']","['Vio bruh', 'Kaisa']","['MrRengar', 'Pyke']","['FokChamp', 'KSante']","['JustTimLoL', 'Poppy']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Dyslexic Trash', 'Nami']",False
84,"['xXmungojerrieXx', 'Ornn']","['Indopitouze', 'Vi']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Sivir']","['Bassch', 'Brand']","['JobFR1997', 'Poppy']","['Booger Zac', 'Khazix']","['YeetYeetYeetTilt', 'Viktor']","['HardDunker', 'Caitlyn']","['Evilphoenix93', 'Lux']",True
85,"['I Raykun I', 'Darius']","['Ðìablø', 'Graves']","['Lewite', 'Leblanc']","['qfxnhfzkl', 'Kaisa']","['CryptikMoon', 'Veigar']","['WY1F4444', 'Aatrox']","['zero fangirl', 'Evelynn']","['Absoluti Rétąrdi', 'Vladimir']","['OMGMYEYES', 'Sivir']","['9Fear the King', 'Lulu']",False
86,"['HΛRΛLD', 'Sejuani']","['bunanimini', 'Viego']","['77malice759wx r1', 'Yasuo']","['AriaUK', 'Caitlyn']","['Parane', 'Zyra']","['Zawodnik B klasy', 'Aatrox']","['Arcolyte', 'Zac']","['MiriaelSabathiel', 'Ahri']","['ichbin10hallo', 'Twitch']","['xAKILESC', 'Nautilus']",True
87,"['INVINCIBLE GOD', 'Gangplank']","['Tartiflettas', 'LeeSin']","['Hi its Haze', 'Syndra']","['Vedenn', 'Ashe']","['Djexf', 'Ornn']","['Kalaeman', 'Warwick']","['ItalkinLobbyOnLy', 'Karthus']","['MiriaelSabathiel', 'Akali']","['wtf meine anton', 'Twitch']","['Creorent', 'Lulu']",True
88,"['Naoyafa', 'Irelia']","['Die for Scuttle', 'Olaf']","['Tiwua', 'Ahri']","['BetongNani', 'Caitlyn']","['RydleFS', 'Morgana']","['HBT Lurcelant', 'Garen']","['JG IS STRONGSIDE', 'Hecarim']","['MiriaelSabathiel', 'Vladimir']","['Aphneius', 'Kaisa']","['Boöoö', 'Thresh']",True
89,"['Javier Peña', 'Neeko']","['Die for Scuttle', 'Volibear']","['MiriaelSabathiel', 'Shen']","['BetongNani', 'Ezreal']","['Zoara', 'Yuumi']","['Naoyafa', 'Aatrox']","['Challenger Smite', 'Gragas']","['Weákside ', 'Zed']","['Gumasushï', 'Vayne']","['LemonVodkaTwice', 'Renata']",False
90,"['PackardBell 666', 'Mordekaiser']","['nuseenof', 'Belveth']","['Slaanesh Is Love', 'Yone']","['WIP Carhartt', 'Twitch']","['Hi im Steve 69 ', 'Lulu']","['Abbe2', 'Fiora']","['trebliH', 'Graves']","['HRAB0NSZCZ', 'Akali']","['MiriaelSabathiel', 'Ezreal']","['fIaco P', 'Bard']",True
91,"['Bokricha', 'Gragas']","['Heroesxyz', 'Graves']","['HakanaÎ', 'Galio']","['Infernum abuser', 'Aphelios']","['Scream aτ raiη', 'Lulu']","['Cryxen', 'Camille']","['GM NoLimits', 'Taliyah']","['MiriaelSabathiel', 'Vladimir']","['VES Inscribed ', 'Ezreal']","['Vacetra', 'Yuumi']",False
92,"['Myrovalys', 'Darius']","['PASTIR S 4 OVCE', 'MonkeyKing']","['MiriaelSabathiel', 'Vladimir']","['FLITSERLIOS', 'Nilah']","['uJomanizer', 'Yuumi']","['LEC RISING STAR', 'Camille']","['Puma VI', 'Karthus']","['hi im iqushi', 'Irelia']","['Młody Dinky', 'Varus']","['Drakath5', 'Blitzcrank']",True
93,"['Princess Hichem ', 'Darius']","['NlKAER', 'Belveth']","['Lo Fang', 'Cassiopeia']","['Cyanisyde', 'Varus']","['Joanu', 'Zac']","['Grusbär', 'Garen']","['Saulius užpisa', 'Nidalee']","['zunome', 'Yasuo']","['SCHWIBBLI', 'Kaisa']","['Merliń', 'Nami']",True
94,"['Garmo Is Eternal', 'Darius']","['Lyriciste Bantou', 'Ekko']","['Unbreakable DK', 'Anivia']","['LF 1v9 Lulu', 'Twitch']","['Jurisdiction', 'Yuumi']","['GÊN', 'Jax']","['Kiuskee', 'Nidalee']","['zunome', 'Yone']","['SCHWIBBLI', 'Tristana']","['Merliń', 'Nami']",False
95,"['bambuxx', 'Gnar']","['DRXZEKAFAN258', 'Viego']","['Laevateınn', 'AurelionSol']","['Drøgzy', 'Lucian']","['Pontano ', 'Soraka']","['Bot Ao Shin', 'Ornn']","['TSM Sojiiro', 'Kindred']","['zunome', 'Akali']","['Wang Iee', 'Aphelios']","['Merliń', 'Nami']",False
96,"['Θnizuka', 'KSante']","['Zednédine Zedane', 'Nidalee']","['Croxyy', 'Viktor']","['alexvi07', 'Draven']","['Alim69zz', 'Amumu']","['cursed envy', 'Jax']","['Potormaid', 'Elise']","['zunome', 'Yone']","['sudrufini', 'Kaisa']","['Merliń', 'Xerath']",False
97,"['Tomas462005', 'Fiora']","['Algerian Kid', 'Graves']","['FNC Evilfreak', 'Orianna']","['LuluUltedMyDìck', 'Caitlyn']","['SMìLiNG', 'Lux']","['d0gsh1et botlane', 'Sett']","['The Sunshine Man', 'Belveth']","['zunome', 'Sylas']","['sudrufini', 'Kaisa']","['Merliń', 'Xerath']",False
98,"['FerrumFigge', 'Malphite']","['The Sunshine Man', 'Belveth']","['zunome', 'Zed']","['kennenslittlebro', 'Seraphine']","['Merliń', 'Xerath']","['E Flash Q Ignite', 'Quinn']","['Liker', 'Ekko']","['Vendo tramezzini', 'Nasus']","['5736', 'Caitlyn']","['Saifogeo98', 'Janna']",True
99,"['Holmgång', 'Shen']","['Gubaexi', 'Talon']","['Yemu', 'Viktor']","['Winkie Ruggedo', 'Kaisa']","['AC Marsaturne', 'Renata']","['esse change gram', 'Kayle']","['Rock Hard Nips', 'Diana']","['zunome', 'Yasuo']","['xButternut', 'Ezreal']","['Merliń', 'Xerath']",False
100,"['Molarara', 'Aatrox']","['guan jian ci', 'Ekko']","['babyHide on bush', 'Yone']","['zunome', 'Lucian']","['Merliń', 'Nami']","['Lamantin Obèse', 'Mordekaiser']","['Vovatskulc', 'Belveth']","['CSG Keos', 'Twitch']","['Jimuli', 'MissFortune']","['Zefexx', 'Amumu']",True
101,"['Carlos Ocaña', 'Fiora']","['Splache 18', 'FiddleSticks']","['Mr BIue', 'Sylas']","['Impaled1', 'Samira']","['eLToRolaSo ', 'Pyke']","['tOp DiFf BtW', 'Maokai']","['PROWLERHACK', 'Khazix']","['ER AkHasspun', 'Yasuo']","['zunome', 'Syndra']","['Merliń', 'Heimerdinger']",True
102,"['Jin Mori', 'Aatrox']","['BLANC DE BLANC', 'Sejuani']","['yneulv', 'Tristana']","['zunome', 'Syndra']","['Merliń', 'Heimerdinger']","['Doge45', 'Mordekaiser']","['d0gsh1et botlane', 'JarvanIV']","['Rataxès', 'Orianna']","['DannyHot', 'Varus']","['Keâhî Shân', 'Amumu']",False
103,"['stone reacher', 'Taliyah']","['SKT T1 Eevee', 'Vi']","['wx 19900729', 'Ryze']","['Glazu', 'Caitlyn']","['spreadpositivity', 'Thresh']","['Newvered Decimus', 'Aatrox']","['Wyldewolf', 'Shyvana']","['Aricu', 'Belveth']","['zunome', 'Syndra']","['Merliń', 'Heimerdinger']",False
104,"['WσΙf', 'Yorick']","['lccylt', 'Kindred']","['KTL HardStuck', 'Tryndamere']","['zunome', 'Xayah']","['Merliń', 'Heimerdinger']","['mám 2 táty', 'Jax']","['Ρyosik', 'FiddleSticks']","['Hodiio', 'Yone']","['Angelusew', 'Kaisa']","['Kamilius fanboi', 'Nautilus']",False
105,"['Tavaa', 'Kled']","['Hedenskmoon', 'Hecarim']","['OffΙine', 'Viktor']","['zunome', 'Kaisa']","['Merliń', 'Nami']","['Canj3l', 'Shen']","['PaRtyFiddle HD', 'Gragas']","['Dr Athanasius29', 'Zed']","['Jaké Tyler', 'Xayah']","['Keriacell', 'Janna']",True
106,"['Merliń', 'Urgot']","['DYU geju', 'Sejuani']","['fowcuyx', 'Sylas']","['zunome', 'Kaisa']","['Myouria', 'Velkoz']","['666 kisses', 'Riven']","['Rabi Shacob', 'Nocturne']","['Bad VelKoz', 'Veigar']","['lukjal', 'Seraphine']","['Hi Im Giloup', 'Senna']",True
107,"['I orbit LOOΠΔ', 'Ornn']","['Help me on river', 'Olaf']","['zunome', 'Akali']","['βετrαyεd', 'Ezreal']","['TMG VGeeks', 'Yuumi']","['Lmaokai', 'Aatrox']","['LeFlanked', 'Diana']","['DTB Yasuo', 'Vex']","['One Abovê All', 'Kaisa']","['LiLFelix', 'Thresh']",False
108,"['Barricbelles', 'Fiora']","['Le monkeii', 'Kindred']","['zunome', 'Ekko']","['Tunechi', 'Lucian']","['Döndelion', 'Nami']","['Chisvert', 'Rumble']","['G2 Villain', 'Poppy']","['JΑY G', 'Syndra']","['J MON COEUR', 'Ezreal']","['dMeCandice', 'Karma']",True
109,"['Akshan Bot', 'Mordekaiser']","['AnotherYiSmurf', 'Gragas']","['zunome', 'Yone']","['Snabu', 'Jhin']","['StorSnor', 'Janna']","['Gobling0n', 'Shen']","['PO0PEATER', 'Shaco']","['UnplayableLane2', 'Veigar']","['2k adc acc', 'Lucian']","['Axαnα', 'Nami']",False
110,"['AS Belledino', 'Urgot']","['Enoah', 'Ekko']","['u r all dogs', 'Seraphine']","['espoty9', 'Samira']","['Arle', 'Renata']","['Rotternesfar', 'Bard']","['Press H to Honk', 'Vi']","['zunome', 'Sylas']","['Helineirch', 'MissFortune']","['JonasaD', 'Taric']",True
111,"['Deadeven', 'KSante']","['SSS Qiyana', 'Karthus']","['rose smurf acc', 'Kassadin']","['Wertysemdef 2', 'Kaisa']","['Ruck Fou Yiot', 'Heimerdinger']","['Lordringring', 'Sejuani']","['Casinero', 'Udyr']","['zunome', 'Syndra']","['0oopp', 'Varus']","['Ryoumen Shin', 'Pyke']",False
112,"['xXsp00kyRauschXx', 'Ornn']","['BrK Eldelyne', 'Viego']","['Big2080', 'Swain']","['zunome', 'Kaisa']","['Llorente', 'Karma']","['SION HEXTECH', 'Olaf']","['JungIe King', 'Rengar']","['die unvanquished', 'Akali']","['Your Bad UwU', 'Jhin']","['NPC IRL', 'Twitch']",False
113,"['Your Bad UwU', 'Gragas']","['FuBu', 'Diana']","['Aureliσn Smol', 'Yasuo']","['Stormyside', 'Ashe']","['Scrab', 'Seraphine']","['Ukendtbruger', 'Warwick']","['MlRAJ', 'Olaf']","['zunome', 'Sylas']","['WuJinDeSiNian', 'Varus']","['only VÃYNE', 'Morgana']",False
114,"['Artihh', 'Gnar']","['Thesimus', 'Rengar']","['Mr Fam', 'Syndra']","['57Dy', 'Caitlyn']","['syzyfowa praca', 'MissFortune']","['hottest pony', 'Sylas']","['BunansFan', 'Graves']","['zunome', 'Yone']","['Four Lejhinds', 'Jhin']","['TNS Pekros', 'Zyra']",False
115,"['plz step on me', 'Renekton']","['KING TO ZAC', 'Zac']","['zunome', 'Yasuo']","['Decimatìon', 'Caitlyn']","['BSc Leon', 'Bard']","['QMZ PridestaIker', 'Camille']","['TryingMyBestlove', 'Ekko']","['Dracula AIucard', 'Zed']","['YT LeagueTime', 'Varus']","['Quinerrown', 'Ashe']",False
116,"['TNRH', 'Riven']","['EisEimer', 'RekSai']","['PollyCraigi1', 'Katarina']","['zunome', 'Kaisa']","['mdavidson', 'Renata']","['CroLUL', 'Aatrox']","['Gosses', 'Sejuani']","['OLD BOY HOT COCO', 'Heimerdinger']","['Cecelynesb', 'Yasuo']","['Holelonoph', 'Taric']",True
117,"['Yu Joonghyeok', 'Sejuani']","['Ferta', 'Ekko']","['XD MENTALLY ILL', 'Vladimir']","['ApowzTV', 'Ashe']","['kbkum', 'Nami']","['Dr ButcherAxe', 'Camille']","['Season X Jng', 'Khazix']","['zunome', 'Syndra']","['Lucy4', 'Kaisa']","['t1 keria fann', 'Nautilus']",False
118,"['Dr ButcherAxe', 'Camille']","['Νalow', 'Kayn']","['Bazook', 'Vex']","['m1NEEX', 'Jinx']","['Ygramul', 'Senna']","['Carlos Ocaña', 'Yone']","['Gengaar', 'Rammus']","['zunome', 'Sylas']","['Inflated draven', 'Draven']","['ÐeLuna', 'Thresh']",True
119,"['KC Bin', 'Renekton']","['Gisva', 'Lillia']","['Decider', 'Vladimir']","['SCHOOLSHOOTERRAT', 'Ezreal']","['jesuisencannabis', 'Belveth']","['Ritofixgamepls', 'Aatrox']","['Zekor', 'Kindred']","['zunome', 'Sylas']","['CSSSX', 'Lucian']","['Merliń', 'Nami']",False
120,"['Soy un soñador', 'Gangplank']","['Geminiz', 'FiddleSticks']","['zunome', 'Yasuo']","['Vt7', 'Ezreal']","['Merliń', 'Xerath']","['man lover lover', 'Garen']","['daddy cbum', 'Khazix']","['BIZEPS SONA', 'Ziggs']","['Knonalivans', 'Lucian']","['dobby1048', 'Nami']",True
121,"['zhuqingting', 'Yone']","['yuan wo ru xing', 'LeeSin']","['Bullè', 'Vex']","['ckingmaster', 'Kaisa']","['HS WoozleStoozle', 'Ahri']","['TobbaTaco', 'Sejuani']","['BOB Däniel', 'XinZhao']","['zunome', 'Sylas']","['Eune Novi Covek', 'Lucian']","['Merliń', 'Nami']",False
122,"['Griefcase Man', 'DrMundo']","['V16 Turbo Int', 'Olaf']","['Merkator', 'Nunu']","['Sonneˆs Jungler', 'Draven']","['BowBeforeBeifeng', 'Morgana']","['BEST GINGER D2CK', 'KSante']","['Never Not', 'LeeSin']","['zunome', 'Yasuo']","['Mangoham', 'Syndra']","['Merliń', 'Xerath']",False
123,"['LuckyPies', 'Garen']","['Bully No Jutsu', 'Zed']","['Junxa', 'Sylas']","['Umirichelado', 'Jhin']","['Gołłan', 'Brand']","['BEST GINGER D2CK', 'KSante']","['Never Not', 'Graves']","['zunome', 'Yone']","['Mangoham', 'Syndra']","['Merliń', 'Xerath']",False
124,"['Luna Embrace', 'Riven']","['Aurtheius', 'Belveth']","['zunome', 'Akali']","['DG Shoalu', 'Jhin']","['Merliń', 'Yuumi']","['Warž', 'Gnar']","['schlaf schön', 'Khazix']","['BlasSzan', 'Heimerdinger']","['Fifsan', 'Ezreal']","['Plag', 'Velkoz']",False
125,"['Winchesterr', 'Yone']","['Iny4face X ', 'Kindred']","['Xiao Fa Shi', 'Veigar']","['Heren Joakim', 'Twitch']","['FAVondersteuning', 'Lulu']","['Shy Alpaca', 'Warwick']","['aIways second', 'Evelynn']","['zunome', 'Zed']","['Sweetkou', 'Kaisa']","['Merliń', 'Janna']",True
126,"['SCU Playssidia', 'Shen']","['jmul i belo', 'Karthus']","['SCU Let us dream', 'Swain']","['zunome', 'Kaisa']","['Merliń', 'Blitzcrank']","['BardOpop', 'Gangplank']","['Theelohellscarry', 'Graves']","['srysrysrysrysr', 'Katarina']","['kilmik123', 'Lucian']","['Sonya', 'Nami']",True
127,"['fainths', 'Sion']","['PureFX', 'JarvanIV']","['PuIse', 'Sylas']","['KrisMedK', 'Ezreal']","['Isvafler', 'Amumu']","['KUANGXIAOZI', 'Sett']","['Yendanisonsy', 'Graves']","['zunome', 'Ahri']","['Nihil ad', 'Draven']","['Merliń', 'Blitzcrank']",True
128,"['Darkhenrahl', 'Garen']","['marMx', 'Rengar']","['zunome', 'Sylas']","['Adc tilted', 'Samira']","['Merliń', 'Amumu']","['Sulten69', 'Irelia']","['PEΑSΑNT', 'Shaco']","['TFS Imperator', 'Zed']","['Moe 1v9', 'Varus']","['BUG Mafia', 'Zilean']",True
129,"['Grenoble', 'Darius']","['LFL KING 2023', 'LeeSin']","['stuhlmensch', 'Ziggs']","['VelkozTentacles', 'Samira']","['Οrangensaft', 'Blitzcrank']","['Twitch Kangwafr', 'Garen']","['Mirshýyte', 'Khazix']","['zunome', 'Syndra']","['FckNugget', 'Aphelios']","['Merliń', 'Janna']",False
130,"[' Jun Ji Hyun', 'Mordekaiser']","['TheisIJ', 'Graves']","['anhaeyo', 'Akshan']","['ÇAKAR', 'Xayah']","['IceCoLdd', 'Lulu']","['ANTISAMĄ', 'Yorick']","['BollenIBurken', 'Kindred']","['zunome', 'Ahri']","['L0pinox', 'Jinx']","['Merliń', 'Blitzcrank']",False
131,"['DieuYe', 'Garen']","['ΤlΜ', 'Elise']","['Rabenstag', 'Viktor']","['zunome', 'Aphelios']","['Merliń', 'Lulu']","['Gengar Bot', 'Gangplank']","['ahmaddimo', 'Vi']","['Dami No Kami', 'Syndra']","['LepaXe', 'Swain']","['Tjøb', 'Taric']",False
132,"['PPG Hiro', 'Gragas']","['WD3 Rógue', 'Hecarim']","['The Young G0D', 'Orianna']","['i13', 'Ezreal']","['CeriiZ', 'Yuumi']","['PapyScotch', 'Ornn']","['Annïhilatiøn', 'Viego']","['zunome', 'Kaisa']","['I AM MORBISUS', 'Draven']","['Merliń', 'Blitzcrank']",True
133,"['tempzfbjlxigcvyd', 'Ornn']","['NingzeOoh', 'Ekko']","['zunome', 'Kaisa']","['WRS Radi ', 'Lucian']","['Merliń', 'Nami']","['viscol11', 'Singed']","['Graphîx', 'Viego']","['Samîra enjoyer', 'Syndra']","['Toodirty', 'Ashe']","['Pack', 'Rell']",True
134,"['Monokuma FANBOY', 'Akali']","['autochess Cmieux', 'Sejuani']","['ÇOLT', 'Qiyana']","['Plats', 'Kaisa']","['only VÃYNE', 'Morgana']","['ƒull moon night', 'Warwick']","['shaco90', 'Zac']","['zunome', 'Yasuo']","['HORNBACH Huso', 'Lucian']","['Merliń', 'Nami']",False
135,"['LordLuggi', 'Akali']","['GodProtect', 'Viego']","['MASQUE VERT', 'Zed']","['Starclone', 'Ezreal']","['nice webcam', 'Janna']","['armasot', 'DrMundo']","['AngryMaghrebi', 'Diana']","['zunome', 'Sylas']","['Maosu', 'MissFortune']","['Merliń', 'Blitzcrank']",False
136,"['Miracle Runner', 'Irelia']","['CYBERPSYCHOSE', 'Kayn']","['Büyük SlowLeR', 'Gwen']","['Niuar', 'Vayne']","['dazexyz', 'Karma']","['Zedcore', 'Olaf']","['Jungle is trash', 'Graves']","['to lovable days', 'Akali']","['SIaim', 'Ezreal']","['Fat Oner', 'Nautilus']",True
137,"['TrueNoxıanMıght', 'Darius']","['YOU MÍRIN BRAH', 'Belveth']","['boominboom', 'Malzahar']","['ZEKA BE LIKE', 'Ezreal']","['Shacops', 'Shaco']","['Sad Aurelion Sol', 'AurelionSol']","['Jungle is trash', 'Graves']","['ISSE G', 'Vladimir']","['72DE855', 'Kaisa']","['TOG Wolfstray', 'Nami']",True
138,"['AKA SlimShady', 'KSante']","['montejano', 'Shaco']","['not a pawn', 'Syndra']","['Tio Benny', 'Lucian']","['Döndelion', 'Nami']","['PutBaconOnVegan', 'Garen']","['Jungle is trash', 'Graves']","['pakuhale', 'Zoe']","['chocolate miIk', 'Xayah']","['Retired Coinflip', 'Thresh']",False
139,"['StoCC', 'Irelia']","['Always Ban Yuumi', 'Khazix']","['Rammer Svampen', 'Syndra']","['RNG Hope', 'Kaisa']","['Toji Fûshiguro', 'Zilean']","['AlfredoRato33', 'KSante']","['Jungle is trash', 'Kindred']","['trash mental 1v9', 'Viktor']","['POISONGIVER1111', 'Ezreal']","['Nolife Raphael', 'Zac']",False
140,"['xahoda', 'Garen']","['Gert Glied', 'Twitch']","['VES DragonShrek', 'Karthus']","['InArdentWeTrust', 'Nilah']","['El mekø', 'Soraka']","['Im in the Hell', 'Cassiopeia']","['Jungle is trash', 'Viego']","['Bαrbiηi', 'Seraphine']","['Ciêspie', 'Samira']","['agonized cat', 'Rell']",False
141,"['Straylx', 'Gangplank']","['Jungle is trash', 'Viego']","['GDG Pajkaro', 'Ryze']","['SwitchUnit', 'Jinx']","['Time of Dying', 'Janna']","['Spriterino', 'Garen']","['SPN Path', 'Belveth']","['Yox', 'Sylas']","['LFT Machine', 'Kaisa']","['HYD WhiteBeard', 'Amumu']",True
142,"['weaksidersex69', 'Kennen']","['Jungle is trash', 'Khazix']","['Søggen', 'Tristana']","['Qiuwex', 'Samira']","['MorGaga', 'Seraphine']","['Leisliu', 'Gangplank']","['JorgeL', 'Kayn']","['go wow stp', 'Cassiopeia']","['Radiant Robin', 'MissFortune']","['Clipsh', 'Twitch']",False
143,"['KZ Blazo', 'Garen']","['Jungle is trash', 'Viego']","['Kuro Fukurô', 'Swain']","['Gumasushï', 'Jinx']","['InfectedVirus', 'Thresh']","['ILoveGooooooold', 'Darius']","['Stowry', 'Talon']","['Ζem', 'Syndra']","['tru3no', 'Jhin']","['Ayezhzz', 'Zilean']",True
144,"['Belfàgor', 'Sett']","['iEbrahim1001', 'MasterYi']","['Giovino', 'Ryze']","['JlNX', 'Jinx']","['AkashKun', 'Lulu']","['blnak', 'Riven']","['Jungle is trash', 'Diana']","['Transfer Turkey', 'Yasuo']","['CAPUTI99', 'Kaisa']","['GAG0D', 'Amumu']",False
145,"['Bluplip', 'TahmKench']","['XxD4rkSh4d0w38xX', 'Vi']","['Vel Koz I can', 'Anivia']","['xorbot', 'Kaisa']","['Zookeeper Falk', 'Renata']","['Gloomeh', 'Sylas']","['Jungle is trash', 'Karthus']","['RoT Leopard', 'Tryndamere']","['Bendåx', 'Ezreal']","['Elhite', 'Pyke']",False
146,"['GigaChadGameplay', 'Urgot']","['zayrpbb', 'LeeSin']","['B V 11', 'Sylas']","['Blue Tigah', 'Pantheon']","['Rodeeur', 'Rakan']","['HΛRΛLD', 'Camille']","['Sωeetness', 'Talon']","['Rutisfolio', 'Leblanc']","['surpass yourself', 'Kalista']","['Ungeluder', 'Ashe']",False
147,"['basuban', 'Ornn']","['madmaxx09', 'Rengar']","['eskiden ilahtım', 'Syndra']","['Rain1ng', 'Ezreal']","['15 year old girl', 'Janna']","['RepaPambo', 'Garen']","['saverrac', 'JarvanIV']","['pulu singuratic', 'Azir']","['ROYAL AD', 'Draven']","['Kacheandii', 'Renata']",True
148,"['Burr', 'Maokai']","['TheRuinedWHitty', 'Viego']","['ECES Pikagluma', 'Karma']","['EG123', 'Kaisa']","['Ploþ', 'Bard']","['twtvDarienLoL', 'KSante']","['cringeattack1815', 'Zed']","['Kidiwi', 'Veigar']","['Rain1ng', 'Varus']","['emisalya', 'Lux']",True
149,"['T1 pue sa mère', 'Gnar']","['Gonski', 'Evelynn']","['Groinze', 'Akali']","['Rain1ng', 'Kalista']","['Don Ponk ', 'Renata']","['GHOST ARMOR', 'Lucian']","['Mount of Cosmos', 'Lillia']","['Fhooi', 'Anivia']","['MARKSMAN ON METH', 'Kaisa']","['boo hoo scary', 'Nautilus']",True
150,"['uGMonroe', 'Camille']","['Senutna Sucks', 'Shaco']","['Chaiwat', 'Karma']","['B0B0DDY', 'MissFortune']","['DC132Blackout', 'Thresh']","['Fat Mans Belly', 'Aatrox']","['Enquetia', 'Graves']","['Rain1ng', 'Syndra']","['Noarashi', 'Kaisa']","['ALL CHAT SMILEY', 'Lulu']",False
151,"['KingGnoms1', 'Akshan']","['ººº Ranger ººº', 'Ivern']","['Steger', 'Pantheon']","['damage maker', 'Kaisa']","['Inférno', 'Sona']","['GoB PXXL', 'KSante']","['Impulsivo', 'Volibear']","['Szujas', 'Anivia']","['Rain1ng', 'Samira']","['OxA Shayx', 'Amumu']",False
152,"['VAT Anthony', 'Ornn']","['Pierdniety', 'Kayn']","['Scym D6CADD', 'Anivia']","['tie and hang', 'Draven']","['deus machina', 'Lulu']","['Kiñdréd', 'Mordekaiser']","['Synbiöz', 'Belveth']","['Rain1ng', 'Syndra']","['Mída', 'Varus']","['Imdoodle', 'Blitzcrank']",False
153,"['New folder kebab', 'Heimerdinger']","['MidTrix', 'RekSai']","['ISSE G', 'Talon']","['cúmkitten69', 'Draven']","['Golemator', 'Thresh']","['Kynou', 'Shen']","['l0veboy', 'Viego']","['NO GOD COMPLΕX', 'Kassadin']","['Rain1ng', 'Kalista']","['JKYX', 'Janna']",True
154,"['fłıñn', 'Chogath']","['Skusm', 'Graves']","['IIVERN', 'Malphite']","['sinister11', 'Twitch']","['Golemator', 'Soraka']","['erche13', 'Gragas']","['l0veboy', 'Hecarim']","['Scrùb', 'Lissandra']","['Rain1ng', 'Kalista']","['Eleganckohaj69', 'Renata']",False
155,"['brother gamerX', 'Malphite']","['HÄHÂHÃ PRØßLĚM', 'Hecarim']","['Vaneldeoriol', 'Diana']","['Rain1ng', 'Kalista']","['Thanks', 'Thresh']","['MaXiMaL BlobFish', 'Shen']","['sanpone luigi', 'Graves']","['VDE Leemonade', 'Ahri']","['444kisses', 'Varus']","['Bullshifter', 'Blitzcrank']",True
156,"['Wesney', 'Tryndamere']","['Cendei', 'Kayn']","['TESknightt', 'Akali']","['Rain1ng', 'Varus']","['Faker ou pas', 'Maokai']","['mid geccem', 'Irelia']","['Firstbornunicorn', 'Nidalee']","['BBEMERGENCYSRY', 'Sylas']","['Kelv7', 'Aphelios']","['L9GBT RAF Camora', 'Renata']",False
157,"['Wesney', 'Tryndamere']","['RedLikeRöses', 'JarvanIV']","['Ihsiy', 'Galio']","['KING REJE', 'Jinx']","['BeeN Jyy', 'Velkoz']","['Szujas', 'Malphite']","['Typhon150', 'Maokai']","['SKROAAAAAAAA', 'Xerath']","['Rain1ng', 'Varus']","['LemonVodkaTwice', 'Lulu']",False
158,"['BL empyrean', 'Aatrox']","['Righanetro', 'Viego']","['Captain Quïnn ', 'Seraphine']","['Rain1ng', 'Kaisa']","['Syncwaves', 'Janna']","['tempykschexvaklk', 'Qiyana']","['DJ0NLA', 'Hecarim']","['Jacques Sparrow', 'Sylas']","['Zaven Collins', 'Caitlyn']","['Alistar West', 'Karma']",False
159,"['tempykschexvaklk', 'Mordekaiser']","['sth different', 'Volibear']","['Boba Trash tea', 'Zed']","['JMGG Druust', 'Kaisa']","['Shaco AP Comet', 'Blitzcrank']","['SkullNounours', 'Ornn']","['Righanetro', 'Diana']","['SigmaNumberOne', 'Yasuo']","['Rain1ng', 'Ezreal']","['pečenka', 'Nami']",False
160,"['Devasastro', 'Aatrox']","['DaxOlessa', 'Vi']","['Mattoss', 'Syndra']","['Rain1ng', 'Ezreal']","['ehGoN', 'Thresh']","['Chąrles', 'Jax']","['Tak', 'Evelynn']","['JMGG Druust', 'Akali']","['Mylande', 'MissFortune']","['boczniak 105', 'Lulu']",True
161,"['O M G M A N N N', 'Fiora']","['saverrac', 'Hecarim']","['Ak4za Hakuji', 'Zed']","['Rain1ng', 'Varus']","['KEKWv2', 'Thresh']","['Xiang Ding Dang', 'Riven']","['biomonte', 'Kindred']","['midbeast int acc', 'Sylas']","['tempnpjrbdtmhekt', 'Ezreal']","['VOTO DI RESA', 'Neeko']",True
162,"['Hamsalak', 'Vi']","['KlubbarN', 'XinZhao']","['Swede Yisus', 'Akali']","['Bobbie', 'Kaisa']","['Gilinsky', 'Renata']","['Aunis187', 'Aatrox']","['GØD ØF ØBLIVIØN', 'Belveth']","['spinto1V9', 'Sylas']","['Rain1ng', 'Varus']","['Pandavo', 'Zilean']",False
